Log of images copies from old pattern ("1000/00004325.jp2") to new system ("w6/63/45/02/w/00000001.jp2")

Python 2.7.6 (default, Nov 10 2013, 19:24:24) [MSC v.1500 64 bit (AMD64)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
1,g445cf536
2,bc386k60n
3,6m311q68t
4,f4752j13x
5,9c67wp21h
6,1z40kv22c
7,sf2686503
8,np193b57x
9,0z708x825
10,w6634502w
11,rf55z909c
12,mp48sf16t
13,gx41mk24m
14,7h149r26b
15,3r074w35r
16,v692t760c
17,kp78gh76m
18,fx719n86c
19,b8515p77q
20,2r36tz937
21,z029p612g
22,pg15bg28k
23,jq085m370
24,f1881n29n
25,9880vs38k
26,1r66j252v
27,ng451j90z
28,ht24wk826
29,d217qq91v
30,8910jv98j
31,4j03d1059
32,gt54kp42x
33,c247dt490
34,79407z569
35,qb98mg860
36,ft848s015
37,6969z2166
38,2j62s625g
39,xs55md464
40,t435gf38z
41,pc289k47c
42,jm214q54p
43,dv13zv61s
44,9306t069q
45,5999n479f
46,1n79h5692
47,s4655j008
48,nc580p06m
49,8336h330j
50,vx021g503
51,gm80hw72w
52,bv73c1825
53,765372740
54,tx31qk09c
55,kd17cv240
56,jd472x86r
57,dr26xz780
58,9019s3871
59,1g05fd007
60,rx913r28d
61,n583xw37q
62,hh63sx299
63,8049g645s
64,47429b523
65,0g354g601
66,qz20st89h
67,br86b497d
68,707959041
69,zg64tn32n
70,tq57ns42j
71,fj236349c
72,9s161756t
73,2801ph73x
74,p2676w945
75,j9602201s
76,8s45qb166
77,1831cm35m
78,wm117q38z
79,rv042v47c
80,cj82k869j
81,44558f699
82,0c483k78q
83,vm40xs98d
84,qv33rz05s
85,m326m312v
86,gb19f720s
87,6w924d21g
88,3484zj318
89,zc77sr51f
90,tm70mw57n
91,pv63g164g
92,k3569572n
93,fb4949812
94,9p290b744
95,5x21tg832
96,xd07gv09r
97,nv935425p
98,df65v9253
99,4x51hk429
100,1544bq49c
101,wd375x69j
102,rn301277q
103,mw22v686s
104,h702q7774
105,cf95jc86c
106,7p88ch949
107,05741t093
108,vd66w1299
109,m039k631n
110,g732db40x
111,bg257g47r
112,2z10wr62n
113,z603qz822
114,td96k391p
115,k0698890z
116,f7623d984
117,9g54xk055
118,5q47rq133
119,x633f2444
120,sj139334r
121,d791sh571
122,8g84mn65z
123,4q77fs74c
124,w9505186m
125,rj4305951
126,ms35tb03j
127,h128ng107
128,c821gm18d
129,7h149r27t
130,02870x27d
131,v979v4483
132,qj72p854x
133,g158bj69x
134,b8515p786
135,2v23vv78c
136,z316q299n
137,pk02cc13b
138,js956h213
139,9c67wp220
140,5m60qt318
141,1v53jz383
142,x346d557d
143,sb397965b
144,nk322f734
145,8c97kr82s
146,4m90dw90k
147,0v838197s
148,w37638174
149,rb68xd25q
150,c534fq34r
151,7d278v42p
152,qb98mg87g
153,kp78gh773
154,fx719n87v
155,b5644s951
156,2n49t310c
157,xw42n930d
158,t435gf39f
159,pg15bg292
160,5d86p161r
161,1n79h5705
162,s7526d81j
163,ng451j91f
164,hq37vp98x
165,cz30pv055
166,8623j013q
167,4f16c4224
168,0p096831j
169,r781wh43w
170,mg74qn51t
171,bz60cx66f
172,76537275g
173,3j3333653
174,zs25x987w
175,v118rf96j
176,q811km03s
177,kh04dr107
178,9z9031271
179,6969z217p
180,t148fj549
181,p8418p61m
182,jh343t69x
183,9306t070t
184,5999n480j
185,1j92g888q
186,ws859h06v
187,n870zs210
188,8336h3311
189,4b29b739b
190,0k225c46n
191,r207tq74n
192,m900nv83x
193,bv73c183n
194,73666591t
195,3b5919975
196,zk51vj17s
197,tt44pp25q
198,q237ht34c
199,kd17cv25g
200,fn1070344
201,9w0324422
202,6395w849m
203,2b88qd57j
204,xk81jm77k
205,st74cr860
206,jd472x877
207,dn39x294q
208,8w32r701z
209,5425kc09h
210,1c18dh17f
211,wm117q39f
212,rx913r29w
213,hd76s146h
214,cn69m553z
215,7w62f961r
216,44558f70d
217,vq27zp81b
218,bn999813p
219,6w924d22z
220,ff3656666
221,9p290b75m
222,6108vc654
223,xg94hq95w
224,nz806109b
225,8s45qb17p
226,5138jg27t
227,1831cm363
228,wh246t549
229,n009w369b
230,7s75dd79f
231,41687j87m
232,08612p94x
233,vh53wx14p
234,qr46r2220
235,6t053h39b
236,3197xn451
237,z890rv652
238,pr76f482s
239,k35695734
240,fb494982j
241,9k41zf900
242,2227mr05x
243,x920fz25z
244,nv9354265
245,8k71nj50q
246,4t64gp581
247,w95051873
248,rn3012786
249,mw22v6878
250,h415pb95f
251,cc08hh02t
252,7m01bn09h
253,3t945s18r
254,02870x28w
255,kw52j9470
256,bc386k614
257,2v23vv79v
258,pn89d8001
259,jw827d07q
260,f4752j14d
261,5q47rq14k
262,1z40kv24b
263,x633f245m
264,sf268651k
265,np193b58d
266,d504rm741
267,8g84mn66f
268,mp48sf179
269,7h149r289
270,00000142p
271,v692t761v
272,qf85nc695
273,b8515p79p
274,6h440t87m
275,2r36tz94q
276,z029p613z
277,t722hb21r
278,pg15bg305
279,f1881n317
280,5h73px46h
281,1r66j253b
282,s7526d821
283,nk322f74m
284,8910jv991
285,4j03d106s
286,0r967514j
287,mk61rj35g
288,gt54kp43d
289,c247dt503
290,79407z57s
291,3j333366k
292,qb98mg88z
293,kk91fm96r
294,b2773x09q
295,6969z2185
296,2j62s627f
297,xw42n931w
298,t435gf40j
299,dv13zv628
300,9306t0719
301,5d86p1627
302,ww72bc93n
303,nc580p073
304,cv43nz23g
305,0p0968321
306,r494vm584
307,gm80hw74v
308,bz60cx67x
309,76537276z
310,3f462685c
311,zp38wf035
312,tx31qk10g
313,kd17cv26z
314,fq977w19v
315,9z903128h
316,6682x536b
317,2f75r943s
318,xp68kh62g
319,jh343t701
320,dr26xz80k
321,9019s388h
322,5712m794b
323,1g05fd01q
324,wp988m21q
325,hh63sx31w
326,cr56n239k
327,8049g6468
328,47429b53k
329,vq27zp82t
330,r207tq754
331,m900nv84d
332,br86b498w
333,37720f139
334,zg64tn34m
335,9s1617579
336,xk81jm782
337,st74cr87g
338,p2676w95n
339,j96022028
340,dj52w609r
341,5138jg289
342,1c18dh18x
343,wm117q40j
344,rv042v48v
345,n296x055d
346,cj82k8714
347,7w62f9627
348,44558f71w
349,0c483k809
350,vm40xs99w
351,qv33rz068
352,gb19f722r
353,bn9998145
354,6w924d23f
355,3484zj337
356,ff365667p
357,xd07gv10v
358,sn00b018d
359,nv935427n
360,df65v9272
361,4x51hk43s
362,n009w370f
363,h702q7793
364,cf95jc87v
365,7p88ch95s
366,3x816p021
367,05741t106
368,vd66w131w
369,qr46r223g
370,m039k633m
371,g732db41d
372,bg257g487
373,2z10wr634
374,z603qz841
375,th83m074v
376,pr76f4838
377,9g54xk06n
378,5q47rq152
379,ns064744n
380,j098zc51t
381,d791sh58h
382,8g84mn67x
383,4q77fs76b
384,12579t67p
385,rj430596h
386,ms35tb041
387,h128ng11q
388,02870x29c
389,v979v449k
390,qj72p855d
391,ks65hd62v
392,g158bj71h
393,bc386k62m
394,6m311q71w
395,2v23vv80z
396,z316q300p
397,tb09j707h
398,js956h232
399,f4752j15w
400,1v53jz39k
401,sb397966t
402,nk322f753
403,hx11xg66v
404,d504rm75h
405,8c97kr838
406,w3763818m
407,rb68xd27p
408,mp48sf18s
409,gx41mk272
410,c534fq357
411,7d278v435
412,3n204050v
413,zw12z670p
414,v405sb79q
415,qf85nc708
416,kp78gh792
417,b5644s96h
418,6d56zz03j
419,xw42n932c
420,jq085m39z
421,dz010r47r
422,5d86p163q
423,ng451j92x
424,hq37vp99d
425,8623j015p
426,4f16c4243
427,0r9675151
428,r781wh44c
429,bz60cx68d
430,kh04dr11q
431,fq977w20z
432,b2773x10t
433,6969z219n
434,2j62s628x
435,xs55md483
436,t148fj55s
437,p8418p623
438,5999n4811
439,1j92g8896
440,ws859h07b
441,n870zs23z
442,hm50tt15j
443,cv43nz24z
444,8336h332h
445,4b29b740f
446,0k225c474
447,vt150k679
448,r207tq76m
449,mc87pr662
450,bv73c1844
451,736665929
452,3b591998n
453,tt44pp27p
454,9w032443j
455,xk81jm79j
456,sx61dn71r
457,p5547s80d
458,jd472x88q
459,8w32r702f
460,5425kc10m
461,wp988m226
462,n583xw39p
463,hd76s1470
464,cn69m554f
465,7w62f963q
466,44558f72c
467,0g354g620
468,vq27zp839
469,qz20st913
470,m613mz99n
471,gf06g406d
472,bn999815n
473,6w924d24x
474,37720f14s
475,zg64tn353
476,pz50gx529
477,k643b259r
478,sq87bw03r
479,nz806110f
480,dj52w610v
481,8s45qb19n
482,5138jg29s
483,1831cm37k
484,rr171z627
485,n009w371x
486,h989r463b
487,7s75dd80j
488,41687j883
489,08612p95d
490,vh53wx155
491,qr46r224z
492,m326m314t
493,gb19f7237
494,z890rv66j
495,k35695753
496,fb4949831
497,9k41zf91g
498,5t34sk989
499,2227mr06d
500,x920fz27x
501,nv9354284
502,8k71nj516
503,rn301280s
504,h415pb96x
505,cc08hh039
506,7m01bn113
507,3t945s20b
508,05741t11p
509,vd66w132c
510,qn59q541s
511,kw52j948g
512,g445cf555
513,6m311q72c
514,2z10wr64m
515,td96k393n
516,jw827d086
517,f4752j16c
518,9g54xk074
519,5q47rq16j
520,1z40kv269
521,x633f2463
522,sf2686522
523,np193b59w
524,d791sh590
525,8g84mn68d
526,4q77fs77t
527,0z708x85m
528,w6634504v
529,rf55z911z
530,c821gm21g
531,7h149r29s
532,3r074w37q
533,000001435
534,qf85nc71r
535,g158bj720
536,b8515p80s
537,6h440t883
538,2r36tz956
539,z029p614f
540,t722hb23q
541,5h73px470
542,1r66j254t
543,sb3979679
544,nk322f76k
545,ht24wk85n
546,8910jw002
547,0r967516h
548,w37638193
549,mk61rj36z
550,c247dt51k
551,79407z59r
552,3j333368j
553,zw12z6715
554,v405sb80t
555,qb98mg89f
556,ft848s034
557,b2773x119
558,6969z220r
559,2n49t312b
560,xw42n933v
561,pc289k49b
562,jm214q56n
563,dv13zv647
564,5d86p1646
565,1n79h573m
566,ww72bc944
567,s4655j027
568,hm50tt161
569,cz30pv074
570,8623j0165
571,0p096833h
572,r494vm59m
573,76537277f
574,tx31qk11z
575,q524jq19h
576,kh04dr126
577,fq977w21f
578,9z9031290
579,6682x537t
580,sx61dn727
581,p8418p63k
582,jh343t720
583,9019s3890
584,wp988m23p
585,s1784n15h
586,hh63sx32c
587,47429b542
588,0g354g63g
589,gh93h0931
590,br86b499c
591,37720f158
592,zk51vj19r
593,tt44pp285
594,q237ht36b
595,k930bz444
596,9s1617598
597,6108vc68k
598,2b88qd59h
599,st74cr88z
600,1c18dh20h
601,wm117q411
602,rv042v49b
603,0c483k81s
604,qv33rz07r
605,m326m3159
606,bn9998164
607,zc77sr53d
608,tm70mw59m
609,pv63g167x
610,ff365669n
611,9p290b77k
612,xd07gv11b
613,sn00b0200
614,nz806111x
615,j6731520k
